Timestamp,Lock Type,Spot,Pin Height,Pin Type,Hard Mode
2025-03-07 14:25:24,6 Pin,3,3,serrated,No
2025-03-07 14:25:24,6 Pin,4,3,serrated,No
2025-03-07 14:25:24,6 Pin,5,3,spool,No
2025-03-07 14:25:24,6 Pin,6,6,serrated,No

2025-03-07 14:25:25,6 Pin,1,8,serrated,No
2025-03-07 14:25:25,6 Pin,2,6,spool,No
2025-03-07 14:25:25,6 Pin,3,1,serrated,No
2025-03-07 14:25:25,6 Pin,4,7,spool,No
2025-03-07 14:25:25,6 Pin,5,7,spool,No
2025-03-07 14:25:25,6 Pin,6,1,serrated,No

2025-03-07 14:25:26,6 Pin,1,3,serrated,No
2025-03-07 14:25:26,6 Pin,2,8,serrated,No
2025-03-07 14:25:26,6 Pin,3,8,spool,No
2025-03-07 14:25:26,6 Pin,4,3,spool,No
2025-03-07 14:25:26,6 Pin,5,7,serrated,No
2025-03-07 14:25:26,6 Pin,6,7,serrated,No

2025-03-07 14:25:26,6 Pin,1,5,spool,No
2025-03-07 14:25:26,6 Pin,2,7,spool,No
2025-03-07 14:25:26,6 Pin,3,2,spool,No
2025-03-07 14:25:26,6 Pin,4,5,spool,No
2025-03-07 14:25:26,6 Pin,5,3,serrated,No
2025-03-07 14:25:26,6 Pin,6,5,serrated,No

2025-03-07 14:25:26,6 Pin,1,4,spool,No
2025-03-07 14:25:26,6 Pin,2,5,spool,No
2025-03-07 14:25:26,6 Pin,3,2,serrated,No
2025-03-07 14:25:26,6 Pin,4,1,serrated,No
2025-03-07 14:25:26,6 Pin,5,4,spool,No
2025-03-07 14:25:26,6 Pin,6,6,serrated,No

2025-03-07 14:25:26,6 Pin,1,7,spool,No
2025-03-07 14:25:26,6 Pin,2,5,serrated,No
2025-03-07 14:25:26,6 Pin,3,3,spool,No
2025-03-07 14:25:26,6 Pin,4,6,spool,No
2025-03-07 14:25:26,6 Pin,5,7,spool,No
2025-03-07 14:25:26,6 Pin,6,7,spool,No

2025-03-07 14:25:27,6 Pin,1,3,serrated,No
2025-03-07 14:25:27,6 Pin,2,6,spool,No
2025-03-07 14:25:27,6 Pin,3,8,serrated,No
2025-03-07 14:25:27,6 Pin,4,4,spool,No
2025-03-07 14:25:27,6 Pin,5,7,serrated,No
2025-03-07 14:25:27,6 Pin,6,5,spool,No

2025-03-07 14:25:27,6 Pin,1,5,serrated,No
2025-03-07 14:25:27,6 Pin,2,6,serrated,No
2025-03-07 14:25:27,6 Pin,3,2,spool,No
2025-03-07 14:25:27,6 Pin,4,8,serrated,No
2025-03-07 14:25:27,6 Pin,5,6,serrated,No
2025-03-07 14:25:27,6 Pin,6,1,serrated,No

2025-03-07 14:25:27,6 Pin,1,1,serrated,No
2025-03-07 14:25:27,6 Pin,2,3,spool,No
2025-03-07 14:25:27,6 Pin,3,5,spool,No
2025-03-07 14:25:27,6 Pin,4,5,spool,No
2025-03-07 14:25:27,6 Pin,5,8,spool,No
2025-03-07 14:25:27,6 Pin,6,7,serrated,No

2025-03-07 14:25:27,6 Pin,1,2,serrated,No
2025-03-07 14:25:27,6 Pin,2,7,spool,No
2025-03-07 14:25:27,6 Pin,3,2,spool,No
2025-03-07 14:25:27,6 Pin,4,2,spool,No
2025-03-07 14:25:27,6 Pin,5,5,serrated,No
2025-03-07 14:25:27,6 Pin,6,3,spool,No

2025-03-07 14:25:27,6 Pin,1,1,serrated,No
2025-03-07 14:25:27,6 Pin,2,7,spool,No
2025-03-07 14:25:27,6 Pin,3,5,serrated,No
2025-03-07 14:25:27,6 Pin,4,4,serrated,No
2025-03-07 14:25:27,6 Pin,5,4,serrated,No
2025-03-07 14:25:27,6 Pin,6,6,serrated,No

2025-03-07 14:25:28,6 Pin,1,1,serrated,No
2025-03-07 14:25:28,6 Pin,2,8,spool,No
2025-03-07 14:25:28,6 Pin,3,4,spool,No
2025-03-07 14:25:28,6 Pin,4,5,serrated,No
2025-03-07 14:25:28,6 Pin,5,1,serrated,No
2025-03-07 14:25:28,6 Pin,6,3,serrated,No

2025-03-07 14:25:28,6 Pin,1,5,serrated,No
2025-03-07 14:25:28,6 Pin,2,5,serrated,No
2025-03-07 14:25:28,6 Pin,3,6,serrated,No
2025-03-07 14:25:28,6 Pin,4,3,serrated,No
2025-03-07 14:25:28,6 Pin,5,1,serrated,No
2025-03-07 14:25:28,6 Pin,6,2,spool,No

2025-03-07 14:25:28,6 Pin,1,7,spool,No
2025-03-07 14:25:28,6 Pin,2,2,spool,No
2025-03-07 14:25:28,6 Pin,3,2,serrated,No
2025-03-07 14:25:28,6 Pin,4,6,serrated,No
2025-03-07 14:25:28,6 Pin,5,5,serrated,No
2025-03-07 14:25:28,6 Pin,6,5,serrated,No

2025-03-07 14:25:28,6 Pin,1,7,serrated,No
2025-03-07 14:25:28,6 Pin,2,1,spool,No
2025-03-07 14:25:28,6 Pin,3,1,serrated,No
2025-03-07 14:25:28,6 Pin,4,5,serrated,No
2025-03-07 14:25:28,6 Pin,5,2,spool,No
2025-03-07 14:25:28,6 Pin,6,5,serrated,No

2025-03-07 14:25:28,6 Pin,1,7,spool,No
2025-03-07 14:25:28,6 Pin,2,6,serrated,No
2025-03-07 14:25:28,6 Pin,3,1,serrated,No
2025-03-07 14:25:28,6 Pin,4,3,spool,No
2025-03-07 14:25:28,6 Pin,5,6,serrated,No
2025-03-07 14:25:28,6 Pin,6,6,serrated,No

2025-03-07 14:25:28,6 Pin,1,5,serrated,No
2025-03-07 14:25:28,6 Pin,2,1,spool,No
2025-03-07 14:25:28,6 Pin,3,4,serrated,No
2025-03-07 14:25:28,6 Pin,4,2,spool,No
2025-03-07 14:25:28,6 Pin,5,5,serrated,No
2025-03-07 14:25:28,6 Pin,6,4,serrated,No

2025-03-07 14:25:28,6 Pin,1,7,serrated,No
2025-03-07 14:25:28,6 Pin,2,8,serrated,No
2025-03-07 14:25:28,6 Pin,3,1,spool,No
2025-03-07 14:25:28,6 Pin,4,4,serrated,No
2025-03-07 14:25:28,6 Pin,5,4,serrated,No
2025-03-07 14:25:28,6 Pin,6,3,spool,No

2025-03-07 14:25:29,6 Pin,1,8,spool,No
2025-03-07 14:25:29,6 Pin,2,5,spool,No
2025-03-07 14:25:29,6 Pin,3,4,spool,No
2025-03-07 14:25:29,6 Pin,4,5,spool,No
2025-03-07 14:25:29,6 Pin,5,2,serrated,No
2025-03-07 14:25:29,6 Pin,6,3,spool,No

2025-03-07 14:25:29,6 Pin,1,6,spool,No
2025-03-07 14:25:29,6 Pin,2,4,serrated,No
2025-03-07 14:25:29,6 Pin,3,2,serrated,No
2025-03-07 14:25:29,6 Pin,4,4,spool,No
2025-03-07 14:25:29,6 Pin,5,4,spool,No
2025-03-07 14:25:29,6 Pin,6,2,spool,No

2025-03-07 14:45:58,6 Pin,1,7,standard,No
2025-03-07 14:45:58,6 Pin,2,2,standard,No
2025-03-07 14:45:58,6 Pin,3,5,standard,No
2025-03-07 14:45:58,6 Pin,4,3,standard,No
2025-03-07 14:45:58,6 Pin,5,4,standard,No
2025-03-07 14:45:58,6 Pin,6,2,standard,No
2025-03-07 14:47:51,6 Pin,1,8,standard,No
2025-03-07 14:47:51,6 Pin,2,6,standard,No
2025-03-07 14:47:51,6 Pin,3,8,standard,No
2025-03-07 14:47:51,6 Pin,4,8,standard,No
2025-03-07 14:47:51,6 Pin,5,8,standard,No
2025-03-07 14:47:51,6 Pin,6,2,standard,No
2025-03-07 14:48:38,6 Pin,1,8,standard,No
2025-03-07 14:48:38,6 Pin,2,1,standard,No
2025-03-07 14:48:38,6 Pin,3,6,standard,No
2025-03-07 14:48:38,6 Pin,4,7,standard,No
2025-03-07 14:48:38,6 Pin,5,6,standard,No
2025-03-07 14:48:38,6 Pin,6,1,standard,No
2025-03-07 14:53:46,6 Pin,1,8,standard,No
2025-03-07 14:53:46,6 Pin,2,2,standard,No
2025-03-07 14:53:46,6 Pin,3,2,standard,No
2025-03-07 14:53:46,6 Pin,4,7,standard,No
2025-03-07 14:53:46,6 Pin,5,8,standard,No
2025-03-07 14:53:46,6 Pin,6,2,standard,No
2025-03-07 14:53:49,6 Pin,1,2,standard,No
2025-03-07 14:53:49,6 Pin,2,5,standard,No
2025-03-07 14:53:49,6 Pin,3,4,standard,No
2025-03-07 14:53:49,6 Pin,4,2,standard,No
2025-03-07 14:53:49,6 Pin,5,1,standard,No
2025-03-07 14:53:49,6 Pin,6,3,standard,No
2025-03-07 14:53:50,6 Pin,1,8,standard,No
2025-03-07 14:53:50,6 Pin,2,8,standard,No
2025-03-07 14:53:50,6 Pin,3,5,standard,No
2025-03-07 14:53:50,6 Pin,4,8,standard,No
2025-03-07 14:53:50,6 Pin,5,4,standard,No
2025-03-07 14:53:50,6 Pin,6,8,standard,No
2025-03-07 14:53:50,6 Pin,1,1,standard,No
2025-03-07 14:53:50,6 Pin,2,5,standard,No
2025-03-07 14:53:50,6 Pin,3,6,standard,No
2025-03-07 14:53:50,6 Pin,4,3,standard,No
2025-03-07 14:53:50,6 Pin,5,4,standard,No
2025-03-07 14:53:50,6 Pin,6,7,standard,No
2025-03-07 14:53:52,6 Pin,1,6,standard,No
2025-03-07 14:53:52,6 Pin,2,1,standard,No
2025-03-07 14:53:52,6 Pin,3,2,standard,No
2025-03-07 14:53:52,6 Pin,4,5,standard,No
2025-03-07 14:53:52,6 Pin,5,8,standard,No
2025-03-07 14:53:52,6 Pin,6,3,standard,No
2025-03-07 14:53:53,6 Pin,1,5,standard,No
2025-03-07 14:53:53,6 Pin,2,8,standard,No
2025-03-07 14:53:53,6 Pin,3,8,standard,No
2025-03-07 14:53:53,6 Pin,4,8,standard,No
2025-03-07 14:53:53,6 Pin,5,3,standard,No
2025-03-07 14:53:53,6 Pin,6,2,standard,No
2025-03-07 14:53:53,6 Pin,1,6,standard,No
2025-03-07 14:53:53,6 Pin,2,8,standard,No
2025-03-07 14:53:53,6 Pin,3,3,standard,No
2025-03-07 14:53:53,6 Pin,4,8,standard,No
2025-03-07 14:53:53,6 Pin,5,7,standard,No
2025-03-07 14:53:53,6 Pin,6,4,standard,No
2025-03-07 14:53:55,6 Pin,1,1,standard,No
2025-03-07 14:53:55,6 Pin,2,3,standard,No
2025-03-07 14:53:55,6 Pin,3,8,standard,No
2025-03-07 14:53:55,6 Pin,4,3,standard,No
2025-03-07 14:53:55,6 Pin,5,7,standard,No
2025-03-07 14:53:55,6 Pin,6,8,standard,No
2025-03-07 14:53:55,6 Pin,1,6,standard,No
2025-03-07 14:53:55,6 Pin,2,8,standard,No
2025-03-07 14:53:55,6 Pin,3,7,standard,No
2025-03-07 14:53:55,6 Pin,4,5,standard,No
2025-03-07 14:53:55,6 Pin,5,4,standard,No
2025-03-07 14:53:55,6 Pin,6,6,standard,No
2025-03-07 14:53:55,6 Pin,1,1,standard,No
2025-03-07 14:53:55,6 Pin,2,4,standard,No
2025-03-07 14:53:55,6 Pin,3,7,standard,No
2025-03-07 14:53:55,6 Pin,4,4,standard,No
2025-03-07 14:53:55,6 Pin,5,5,standard,No
2025-03-07 14:53:55,6 Pin,6,7,standard,No
2025-03-07 14:53:58,6 Pin,1,8,standard,No
2025-03-07 14:53:58,6 Pin,2,1,standard,No
2025-03-07 14:53:58,6 Pin,3,2,standard,No
2025-03-07 14:53:58,6 Pin,4,8,standard,No
2025-03-07 14:53:58,6 Pin,5,5,standard,No
2025-03-07 14:53:58,6 Pin,6,4,standard,No
"6 Pin,3 (spool),2 (spool),5 (serrated),8 (standard),1 (serrated),6 (spool)"
"6 Pin,1 (spool),7 (spool),8 (standard),3 (spool),8 (standard),1 (spool)"
"6 Pin,4 (serrated),8 (standard),5 (serrated),1 (serrated),1 (serrated),7 (serrated)"
"6 Pin,3 (spool),5 (spool),2 (spool),6 (spool),3 (spool),2 (spool)"
"6 Pin,7 (spool),1 (serrated),8 (standard),6 (spool),5 (spool),3 (spool)"
"6 Pin,7 (spool),8 (standard),6 (spool),4 (spool),8 (standard),6 (serrated)"
"6 Pin,3 (spool),3 (spool),2 (spool),2 (spool),3 (spool),6 (serrated)"
"6 Pin,5 (serrated),6 (serrated),2 (spool),3 (spool),8 (standard),7 (serrated)"
"6 Pin,7 (serrated),7 (serrated),5 (spool),3 (spool),2 (spool),5 (serrated)"
"6 Pin,2 (serrated),3 (serrated),1 (spool),4 (serrated),1 (spool),3 (spool)"
"6 Pin,5 (spool),3 (serrated),8 (standard),7 (serrated),6 (spool),5 (serrated)"
"6 Pin,6 (serrated),8 (standard),7 (serrated),5 (spool),8 (standard),6 (spool)"
"6 Pin,2 (spool),7 (serrated),4 (serrated),3 (spool),6 (serrated),5 (spool)"
"6 Pin,8 (standard),7 (spool),3 (spool),4 (spool),4 (serrated),2 (spool)"
"6 Pin,6 (serrated),8 (standard),2 (spool),7 (spool),6 (serrated),6 (serrated)"
"6 Pin,7 (spool),3 (spool),6 (serrated),8 (standard),3 (spool),1 (serrated)"
"6 Pin,8 (standard),2 (spool),4 (serrated),7 (spool),5 (serrated),1 (serrated)"
"6 Pin,2 (spool),4 (spool),2 (spool),2 (spool),7 (spool),8 (standard)"
"6 Pin,2 (spool),4 (spool),4 (spool),8 (standard),1 (spool),5 (spool)"
"6 Pin,2 (serrated),7 (spool),4 (spool),6 (serrated),6 (spool),1 (spool)"
"6 Pin,2 (serrated),1 (spool),8 (standard),5 (serrated),8 (standard),7 (serrated)"
"6 Pin,8 (standard),4 (serrated),6 (spool),7 (serrated),1 (spool),3 (spool)"
"6 Pin,8 (standard),2 (serrated),2 (serrated),8 (standard),8 (standard),6 (serrated)"
"6 Pin,4 (serrated),6 (serrated),2 (spool),3 (spool),4 (serrated),3 (spool)"
"6 Pin,1 (spool),8 (standard),7 (serrated),7 (serrated),8 (standard),5 (serrated)"
"6 Pin,7 (serrated),6 (serrated),3 (spool),5 (spool),4 (spool),5 (serrated)"
"6 Pin,8 (standard),1 (spool),6 (spool),7 (serrated),6 (serrated),6 (spool)"
"6 Pin,1 (serrated),7 (spool),3 (spool),7 (serrated),1 (spool),7 (serrated)"
"6 Pin,3 (serrated),2 (serrated),3 (spool),1 (spool),6 (spool),2 (spool)"
"6 Pin,3 (serrated),3 (serrated),7 (spool),7 (spool),7 (spool),3 (serrated)"
"6 Pin,6 (spool),7 (spool),5 (spool),5 (serrated),3 (spool),5 (serrated)"
"6 Pin,2 (serrated),7 (spool),5 (spool),2 (spool),2 (serrated),5 (serrated)"
"6 Pin,2 (spool),7 (serrated),6 (serrated),7 (spool),1 (spool),5 (spool)"
"6 Pin,2 (spool),7 (spool),5 (serrated),2 (spool),4 (spool),2 (serrated)"
"6 Pin,6 (spool),5 (serrated),5 (serrated),5 (spool),8 (standard),3 (spool)"
"6 Pin,1 (spool),6 (serrated),8 (standard),3 (serrated),2 (spool),6 (spool)"
"6 Pin,7 (serrated),6 (serrated),2 (serrated),6 (spool),7 (spool),8 (standard)"
"6 Pin,2 (spool),4 (serrated),6 (serrated),8 (standard),5 (spool),2 (spool)"
"6 Pin,1 (serrated),6 (spool),1 (spool),7 (spool),3 (spool),8 (standard)"
"6 Pin,6 (serrated),5 (serrated),2 (serrated),8 (standard),3 (spool),5 (serrated)"
"6 Pin,1 (serrated),3 (spool),7 (serrated),5 (spool),8 (standard),7 (spool)"
"6 Pin,8 (standard),2 (serrated),2 (serrated),4 (standard),4 (standard),1 (serrated)"
"6 Pin,6 (standard),5 (standard),4 (standard),2 (serrated),4 (standard),1 (serrated)"
"6 Pin,7 (standard),2 (serrated),1 (serrated),6 (standard),3 (serrated),4 (standard)"
"6 Pin,2 (serrated),6 (standard),5 (standard),2 (serrated),8 (standard),5 (standard)"
"6 Pin,8 (standard),1 (serrated),8 (standard),7 (standard),2 (serrated),2 (serrated)"
"6 Pin,5 (standard),3 (serrated),4 (standard),4 (standard),3 (serrated),4 (standard)"
"6 Pin,2 (serrated),6 (standard),5 (standard),3 (serrated),4 (standard),6 (standard)"
"6 Pin,5 (standard),8 (standard),2 (serrated),4 (standard),7 (standard),4 (standard)"
"6 Pin,6 (standard),1 (serrated),5 (standard),3 (serrated),5 (standard),3 (serrated)"
"6 Pin,3 (serrated),3 (serrated),8 (standard),4 (standard),2 (serrated),3 (serrated)"
"6 Pin,8 (standard),6 (standard),4 (standard),1 (serrated),1 (serrated),4 (standard)"
"6 Pin,5 (standard),1 (serrated),5 (standard),6 (standard),3 (serrated),7 (standard)"
"6 Pin,1 (serrated),3 (serrated),5 (standard),3 (serrated),7 (standard),2 (serrated)"
"6 Pin,8 (standard),8 (standard),6 (standard),7 (standard),3 (serrated),7 (standard)"
"6 Pin,4 (standard),4 (standard),6 (standard),3 (serrated),6 (standard),4 (standard)"
"6 Pin,8 (standard),3 (spool),4 (spool),1 (spool),8 (standard),1 (spool)"
"6 Pin,2 (spool),5 (spool),6 (spool),1 (spool),6 (spool),1 (spool)"
"6 Pin,4 (spool),8 (standard),1 (spool),2 (spool),4 (spool),8 (standard)"
"6 Pin,2 (spool),1 (spool),6 (spool),7 (spool),4 (spool),1 (spool)"
"6 Pin,1 (spool),7 (spool),8 (standard),6 (spool),7 (spool),6 (spool)"
"6 Pin,2 (spool),7 (spool),3 (spool),6 (spool),6 (spool),1 (spool)"
"6 Pin,3 (spool),8 (standard),8 (standard),4 (spool),3 (spool),5 (spool)"
"6 Pin,5 (spool),3 (spool),2 (spool),5 (spool),8 (standard),6 (spool)"
"6 Pin,4 (spool),8 (standard),6 (spool),6 (spool),4 (spool),6 (spool)"
"6 Pin,3 (spool),7 (spool),4 (spool),3 (spool),5 (spool),7 (spool)"
"6 Pin,2 (spool),5 (spool),7 (spool),1 (spool),7 (spool),8 (standard)"
"6 Pin,4 (spool),4 (spool),6 (spool),8 (standard),2 (spool),8 (standard)"
"6 Pin,3 (spool),8 (standard),8 (standard),3 (spool),6 (spool),2 (spool)"
"6 Pin,1 (spool),1 (spool),3 (spool),3 (spool),6 (spool),5 (spool)"
"6 Pin,5 (spool),7 (spool),6 (spool),3 (spool),4 (spool),8 (standard)"
"6 Pin,5 (serrated),8 (standard),1 (serrated),1 (serrated),1 (serrated),3 (serrated)"
"6 Pin,2 (serrated),8 (standard),1 (serrated),1 (serrated),6 (serrated),4 (serrated)"
"6 Pin,5 (serrated),7 (serrated),8 (standard),7 (serrated),7 (serrated),3 (serrated)"
"6 Pin,7 (serrated),3 (serrated),6 (serrated),2 (serrated),4 (serrated),7 (serrated)"
"6 Pin,1 (serrated),6 (serrated),8 (standard),2 (serrated),4 (serrated),5 (serrated)"
"6 Pin,3 (serrated),2 (serrated),5 (serrated),6 (serrated),1 (serrated),2 (serrated)"
"6 Pin,2 (serrated),6 (serrated),2 (serrated),3 (serrated),2 (serrated),5 (serrated)"
"6 Pin,6 (serrated),8 (standard),4 (serrated),6 (serrated),5 (serrated),7 (serrated)"
"6 Pin,5 (serrated),6 (serrated),8 (standard),8 (standard),7 (serrated),7 (serrated)"
"6 Pin,5 (serrated),5 (serrated),4 (serrated),7 (serrated),7 (serrated),2 (serrated)"
"6 Pin,3 (serrated),6 (serrated),4 (serrated),2 (serrated),4 (serrated),1 (serrated)"
"6 Pin,6 (serrated),5 (serrated),1 (serrated),4 (serrated),3 (serrated),4 (serrated)"
"6 Pin,6 (serrated),7 (serrated),6 (serrated),3 (serrated),7 (serrated),8 (standard)"
"6 Pin,1 (serrated),1 (serrated),4 (serrated),8 (standard),3 (serrated),5 (serrated)"
"6 Pin,1 (serrated),6 (serrated),3 (spool),4 (serrated),6 (serrated),5 (serrated)"
"6 Pin,2 (serrated),3 (serrated),6 (spool),7 (serrated),3 (serrated),5 (serrated)"
"6 Pin,6 (spool),4 (spool),2 (serrated),6 (spool),1 (spool),5 (spool)"
"6 Pin,5 (serrated),1 (spool),8 (standard),7 (spool),7 (serrated),2 (spool)"
"6 Pin,6 (spool),7 (spool),2 (serrated),4 (serrated),7 (spool),7 (spool)"
"6 Pin,3 (serrated),6 (standard),7 (standard),7 (standard),5 (standard),3 (serrated)"
"6 Pin,8 (standard),5 (standard),1 (serrated),2 (serrated),6 (standard),3 (serrated)"
"6 Pin,7 (standard),6 (standard),4 (standard),5 (standard),2 (serrated),4 (standard)"
"6 Pin,3 (serrated),2 (serrated),6 (standard),4 (standard),4 (standard),1 (serrated)"
"6 Pin,1 (serrated),8 (standard),7 (standard),5 (standard),3 (serrated),5 (standard)"
"6 Pin,8 (standard),1 (serrated),1 (serrated),8 (standard),7 (standard),1 (serrated)"
"6 Pin,7 (standard),4 (standard),8 (standard),7 (standard),5 (standard),4 (standard)"
"6 Pin,4 (standard),6 (standard),7 (standard),7 (standard),7 (standard),8 (standard)"
"6 Pin,7 (standard),8 (standard),4 (standard),4 (standard),6 (standard),5 (standard)"
"6 Pin,7 (standard),4 (standard),2 (serrated),8 (standard),2 (serrated),4 (standard)"
"6 Pin,6 (standard),1 (serrated),8 (standard),2 (serrated),3 (serrated),5 (standard)"
"6 Pin,2 (serrated),3 (serrated),6 (standard),6 (standard),2 (serrated),4 (standard)"
"6 Pin,3 (serrated),5 (standard),2 (serrated),3 (serrated),4 (standard),1 (serrated)"
"6 Pin,4 (standard),4 (standard),4 (standard),4 (standard),6 (standard),1 (standard)"
"6 Pin,5 (standard),8 (standard),8 (standard),6 (standard),8 (standard),5 (standard)"
"6 Pin,6 (standard),1 (standard),4 (standard),4 (standard),5 (standard),1 (standard)"
"6 Pin,4 (standard),7 (standard),6 (standard),1 (standard),4 (standard),6 (standard)"
"6 Pin,4 (standard),1 (standard),3 (standard),2 (standard),6 (standard),1 (standard)"
"6 Pin,5 (standard),4 (standard),5 (standard),5 (standard),5 (standard),8 (standard)"
"6 Pin,3 (standard),1 (standard),5 (standard),4 (standard),3 (standard),7 (standard)"
"6 Pin,6 (standard),1 (standard),1 (standard),2 (standard),3 (standard),8 (standard)"
"6 Pin,2 (spool),8 (standard),3 (spool),6 (standard),3 (spool),7 (standard)"
"6 Pin,4 (standard),7 (standard),6 (standard),8 (standard),6 (spool),8 (standard)"
"6 Pin,2 (spool),4 (spool),8 (standard),3 (spool),3 (spool),7 (standard)"
"6 Pin,2 (spool),1 (spool),1 (spool),1 (spool),5 (standard),7 (standard)"
"6 Pin,3 (spool),8 (standard),1 (spool),5 (spool),7 (standard),2 (spool)"
"6 Pin,7 (standard),5 (spool),3 (spool),6 (standard),4 (standard),3 (spool)"
"6 Pin,6 (standard),1 (spool),3 (spool),8 (standard),6 (spool),6 (standard)"
"6 Pin,1 (spool),2 (spool),2 (spool),3 (spool),6 (spool),2 (spool)"
"6 Pin,3 (spool),3 (spool),5 (standard),3 (spool),2 (spool),5 (spool)"
"6 Pin,1 (spool),7 (standard),6 (spool),3 (spool),5 (standard),8 (standard)"
"6 Pin,4 (spool),8 (standard),1 (spool),6 (spool),4 (spool),8 (standard)"
